category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
Race_ethnicity,0.9290697674418604,-0.05231184610192374,-0.0,6880,6392,488,3917,3440,2952,488,477,3,485,1404,3440,3440,0,0,0,0,0
Religion,0.8583333333333333,0.01498929336188426,0.00037473233404710683,1200,1030,170,718,600,445,155,133,13,142,237,600,585,15,0,13,2,13
Sexual_orientation,0.8715277777777778,-0.003095975232198178,-0.0,864,753,111,541,432,321,111,109,1,110,161,432,432,0,0,0,0,0
SES,0.8784965034965035,0.04461538461538472,1.2999820692126119e-05,6864,6030,834,4263,3432,2599,833,832,0,833,1358,3432,3431,1,0,1,0,1
Disability_status,0.968508997429306,0.019178082191780854,2.4650491249074828e-05,1556,1507,49,825,778,730,48,48,0,48,372,778,777,1,0,1,0,1
Nationality,0.9090909090909091,-0.025761124121779888,-0.00035128805620609024,3080,2800,280,1778,1540,1281,259,259,0,259,624,1540,1519,21,0,12,9,12
Physical_appearance,0.8356598984771574,0.0034364261168384758,2.180473424389912e-05,1576,1317,259,989,788,534,254,206,18,236,292,788,783,5,0,0,5,0
Gender_identity,0.8781734837799718,-0.011644154634373516,-0.0,5672,4981,691,3525,2836,2145,691,689,0,691,1061,2836,2836,0,0,0,0,0
Age,0.9345108695652173,-0.024783147459727428,-5.3876407521146274e-05,3680,3439,241,2062,1840,1603,237,226,0,237,787,1840,1836,4,0,2,2,2
OVERALL,0.9004526329210761,-0.009050129849689115,-2.711692610833762e-05,31372,28249,3123,18618,15686,12610,3076,2979,35,3041,6296,15686,15639,47,0,29,18,29
