category,accuracy,sDIS,sAMB,total,correct,incorrect,unknown,n_disamb,disamb_n_correct,disamb_n_incorrect,disamb_n_incorrect_and_unknown,disamb_n_incorrect_and_stereotype,disamb_n_incorrect_and_non_stereotype,disamb_n_stereotype,n_amb,amb_n_correct,amb_n_incorrect,amb_n_incorrect_and_unknown,amb_n_incorrect_and_stereotype,amb_n_incorrect_and_non_stereotype,amb_n_stereotype
Race_x_SES,0.9803763440860215,-0.016387405634321506,-0.00019970315109925818,11160,10941,219,5661,5580,5429,151,149,0,151,2671,5580,5512,68,0,50,18,50
Race_ethnicity,0.9738372093023255,-0.02671523982999391,-0.00018638539416274914,6880,6700,180,3562,3440,3284,156,146,0,156,1603,3440,3416,24,0,10,14,10
Sexual_orientation,0.9293981481481481,-0.01319261213720313,-0.00024430763217042796,864,803,61,477,432,379,53,53,0,53,187,432,424,8,0,7,1,7
Disability_status,0.9607969151670951,0.006518904823989535,0.00041057369714072916,1556,1495,61,740,778,766,12,11,0,12,386,778,729,49,0,43,6,43
Religion,0.88,0.012844036697247763,0.0011559633027522981,1200,1056,144,601,600,510,90,55,16,74,276,600,546,54,0,46,8,46
Race_x_gender,0.962218045112782,-0.011963973652372673,-7.496224092965167e-06,15960,15357,603,8516,7980,7382,598,541,1,597,3675,7980,7975,5,0,3,2,3
Gender_identity,0.9543370944992948,-0.007361487795428112,-2.5957291239172285e-06,5672,5413,259,3090,2836,2578,258,255,0,258,1281,2836,2835,1,0,1,0,1
Age,0.903804347826087,-0.016018306636155555,-0.0021676947567406154,3680,3326,354,1683,1840,1735,105,92,2,103,860,1840,1591,249,0,228,21,228
SES,0.9379370629370629,0.0487568614788505,0.001278589024795032,6864,6438,426,3677,3432,3096,336,335,0,336,1624,3432,3342,90,0,90,0,90
Nationality,0.9405844155844156,-0.0365168539325843,-0.0015650080256821828,3080,2897,183,1590,1540,1423,117,116,0,117,686,1540,1474,66,0,23,43,23
Physical_appearance,0.8610406091370558,-0.004431314623338234,-0.00029804527288950053,1576,1357,219,846,788,622,166,111,15,151,337,788,735,53,0,47,6,47
OVERALL,0.9536859741503112,-0.007669271784383924,-0.00017490953566929045,58492,55783,2709,30443,29246,27204,2042,1864,34,2008,13586,29246,28579,667,0,548,119,548
